request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_26,15656000,affordable_now,full_payment,2025-08-03:15656000,2025-08-03,none,Full payment of 15656000 IDR today keeps the balance above the required minimum of 24768300 IDR throughout the 90-day forecast.
request_27,6670,affordable_now,full_payment,2026-07-05:6670,2026-07-05,none,Full payment of 6670 ZAR today keeps the balance above the required minimum of 20500 ZAR throughout the 90-day forecast.
request_28,0,not_affordable,not_recommended,none,,none,"Not affordable within the 90-day forecast: the request of 1302.40 EUR cannot be completed without breaching the minimum balance of 1100 EUR, even with available spending flexibility."
request_29,51524,affordable_now,full_payment,2025-11-04:51524,2025-11-04,none,Full payment of 51524 ZAR today keeps the balance above the required minimum of 28300 ZAR throughout the 90-day forecast.
request_30,775.20,affordable_with_plan,installments,2026-04-06:268.74|2026-05-06:268.74|2026-06-05:268.74,2026-04-06,none,Installment plan payment_option_83 (3 payments totaling 806.22 USD) stays safely above the minimum balance throughout the forecast.
request_31,2568593.04,affordable_later,wait,2024-11-16:18164000,2024-11-16,none,"Not safe to pay today; the full 18164000 IDR is forecast safe on 2024-11-16, so waiting is recommended over paying now."
request_32,17672.94,affordable_later,wait,2025-04-18:40018,2025-04-18,none,"Not safe to pay today; the full 40018 ZAR is forecast safe on 2025-04-18, so waiting is recommended over paying now."
request_33,38252.92,affordable_later,wait,2026-03-15:118000,2026-03-15,none,"Not safe to pay today; the full 118000 INR is forecast safe on 2026-03-15, so waiting is recommended over paying now."
request_34,129400,affordable_now,full_payment,2024-12-04:129400,2024-12-04,none,Full payment of 129400 INR today keeps the balance above the required minimum of 138500 INR throughout the 90-day forecast.
request_35,25086.58,affordable_later,wait,2026-01-16:212000,2026-01-16,none,"Not safe to pay today; the full 212000 INR is forecast safe on 2026-01-16, so waiting is recommended over paying now."
request_36,615.39,not_affordable,not_recommended,none,,none,"Not affordable within the 90-day forecast: the request of 3954 USD cannot be completed without breaching the minimum balance of 2400 USD, even with available spending flexibility."
request_37,0,not_affordable,not_recommended,none,,none,"Not affordable within the 90-day forecast: the request of 14649000 IDR cannot be completed without breaching the minimum balance of 17056200 IDR, even with available spending flexibility."
request_38,236.98,affordable_later,wait,2025-10-13:971.30,2025-10-13,none,"Not safe to pay today; the full 971.30 EUR is forecast safe on 2025-10-13, so waiting is recommended over paying now."
request_39,121410.41,affordable_later,wait,2026-06-16:208600,2026-06-16,none,"Not safe to pay today; the full 208600 INR is forecast safe on 2026-06-16, so waiting is recommended over paying now."
request_40,332.46,not_affordable,not_recommended,none,,none,"Not affordable within the 90-day forecast: the request of 1290.30 EUR cannot be completed without breaching the minimum balance of 1500 EUR, even with available spending flexibility."
request_41,7915614.90,affordable_later,wait,2026-01-16:38760000,2026-01-16,none,"Not safe to pay today; the full 38760000 IDR is forecast safe on 2026-01-16, so waiting is recommended over paying now."
request_42,0,not_affordable,not_recommended,none,,none,"Not affordable within the 90-day forecast: the request of 52100 INR cannot be completed without breaching the minimum balance of 113100 INR, even with available spending flexibility."
request_43,9868266.98,affordable_later,wait,2024-11-13:43339000,2024-11-13,none,"Not safe to pay today; the full 43339000 IDR is forecast safe on 2024-11-13, so waiting is recommended over paying now."
request_44,37345.24,affordable_later,wait,2025-04-18:95800,2025-04-18,none,"Not safe to pay today; the full 95800 INR is forecast safe on 2025-04-18, so waiting is recommended over paying now."
request_45,3593440.75,not_affordable,not_recommended,none,,none,"Not affordable within the 90-day forecast: the request of 21983000 IDR cannot be completed without breaching the minimum balance of 11149800 IDR, even with available spending flexibility."
request_46,37013.08,affordable_with_plan,partial_payment,2024-12-03:37013.08|2024-12-15:12436.92,2024-12-15,none,Paying 37013.08 INR today and the remaining 12436.92 INR on 2024-12-15 keeps the balance safe throughout the forecast while completing the request by 2025-01-09.
request_47,38114000,affordable_now,full_payment,2025-05-05:38114000,2025-05-05,none,Full payment of 38114000 IDR today keeps the balance above the required minimum of 30049000 IDR throughout the 90-day forecast.
request_48,45700,affordable_now,full_payment,2026-07-25:45700,2026-07-25,none,Full payment of 45700 INR today keeps the balance above the required minimum of 71300 INR throughout the 90-day forecast.
request_49,10314482.69,not_affordable,not_recommended,none,2024-05-18,none,"Not affordable within the 90-day forecast: the request of 34333000 IDR cannot be completed without breaching the minimum balance of 20275700 IDR, even with available spending flexibility."
request_50,0,not_affordable,not_recommended,none,,none,"Not affordable within the 90-day forecast: the request of 43900 INR cannot be completed without breaching the minimum balance of 99700 INR, even with available spending flexibility."
request_51,2191000,affordable_now,full_payment,2026-01-03:2191000,2026-01-03,none,Full payment of 2191000 IDR today keeps the balance above the required minimum of 7811000 IDR throughout the 90-day forecast.
